,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,Target,Signal,Market_Pct_Change,Trade_Cost,Strategy_Returns,Market_Performance,Bot_Performance
2007-02-27,1.3187,1.3259,1.316,1.3239,1.3107329088245632,0.0100455944050759,75.50561797752829,3.1705925968174853,0.007764329755652,0.0074779061862678,0,0,-0.001057481682906647,0.0,-0.0,0.9989425183170934,1.0
2007-02-28,1.324,1.3241,1.318,1.3225,1.3118535841746048,0.0081155518830965,71.46171693735499,-4.043901040173296,0.0065453991932413,0.0046124763705103,0,0,-0.002948960302457504,0.0,-0.0,0.9959966764861393,1.0
2007-03-01,1.3226,1.3239,1.3161,1.3186,1.3124960999674995,0.0046506043200064,70.80459770114949,-0.6571192362055029,0.004647619047619,0.0059153647808281,1,1,0.0003791900500529355,0.0001,0.0002791900500529355,0.9963743485157487,1.000279190050053
2007-03-02,1.3184,1.3201,1.3143,1.3191,1.3131250428277377,0.0045501814201909,78.05486284289286,7.25026514174337,0.0019749335358905,0.0043969373057387,0,0,-0.007808354180880883,0.0001,-0.0001,0.9885943047057932,1.0001791621310478
2007-03-05,1.32,1.3211,1.3072,1.3088,1.3127131339870008,-0.002980951348537,55.88914549653571,-22.165717346357148,-0.0075826508947528,0.0106204156479217,1,1,0.0029798288508557924,0.0001,0.0028798288508557926,0.9915401465367473,1.0030595069381776
2007-03-06,1.3091,1.313,1.308,1.3127,1.312711883131096,-9.052352803929418e-06,49.73684210526319,-6.152303391272525,-0.0084598534632526,0.003808943399101,1,1,0.003732764531119148,0.0,0.003732764531119148,0.9952413324269204,1.0068036918882783
2007-03-07,1.3127,1.3185,1.3109,1.3176,1.3131774180709916,0.0033678479907955,54.30622009569385,4.569377990430667,-0.0037051039697542,0.0057680631451123,0,0,-0.003491196114147055,0.0001,-0.0001,0.991766749754513,1.0067030115190896
2007-03-08,1.3178,1.3182,1.3117,1.313,1.3131605211118496,-0.0001222402815717,49.24078091106275,-5.065439184631103,-0.0042469285605946,0.0049504950495049,0,1,-0.0012185833968012538,0.0001,-0.0013185833968012539,0.9905581992597625,1.0053755896425907
2007-03-09,1.313,1.3159,1.3087,1.3114,1.312992852434531,-0.0012131463104139,45.53376906318086,-3.707011847881887,-0.0058373133196877,0.0054903156931524,1,1,0.0057190788470338205,0.0,0.0057190788470338205,0.9962232797039049,1.0111254119106396
2007-03-12,1.3126,1.3199,1.3109,1.3189,1.3135554379169565,0.00406877542338,55.03875968992231,9.504990626741446,0.0077169926650366,0.0068238683751612,1,1,0.00045492455834406087,0.0,0.00045492455834406087,0.9966764861394363,1.0115853976920834
2007-03-13,1.3188,1.3221,1.3156,1.3195,1.31412158668677,0.004092782104577,55.38461538461517,0.3458556946928581,0.0051801630227774,0.0049261083743841,1,1,0.00219780219780219,0.0,0.00219780219780219,0.9988669839111712,1.0138086623023956
2007-03-14,1.3196,1.3244,1.3176,1.3224,1.3149100070023156,0.0056962019893359,59.25233644859805,3.867721063982884,0.0036429872495444,0.0051421657592255,1,1,0.0009830611010284152,0.0,0.0009830611010284152,0.9998489311881559,1.0148052981621907
2007-03-15,1.3222,1.325,1.3193,1.3237,1.3157471491925712,0.0060443610402722,57.08661417322835,-2.1657222753697027,0.0081492764661081,0.0043061116567198,1,1,0.005892573846037585,0.0,0.005892573846037585,1.0057406148500638,1.0207851133209616
2007-03-16,1.3237,1.3339,1.3231,1.3315,1.3172474206980405,0.0108199713113931,61.2788632326819,4.192249059453552,0.0153271313100502,0.0081111528351484,0,0,-0.0009763424708973956,0.0001,-0.0001,1.0047586675730793,1.0206830348096294
2007-03-19,1.3316,1.3325,1.3279,1.3302,1.3184809996791795,0.008888258779362,55.99999999999995,-5.27886323268195,0.0085677458488133,0.003458126597504,1,1,0.001127649977447076,0.0001,0.001027649977447076,1.0058916836619078,1.0217319397073321
2007-03-20,1.3304,1.3322,1.3271,1.3317,1.3197399520906865,0.0090624277081004,58.74524714828903,2.745247148289081,0.0092459264873059,0.0038296913719306,1,1,0.004730795224149542,0.0,0.004730795224149542,1.0106503512349874,1.0265655442880606
2007-03-21,1.3317,1.3389,1.3289,1.338,1.3214790042725255,0.0125018980052347,67.63636363636365,8.891116488074623,0.0117967332123412,0.007473841554559,0,1,-0.0037369207772796065,0.0,-0.0037369207772796065,1.0068736309388924,1.0227293501763712
2007-03-22,1.3382,1.341,1.331,1.333,1.3225762419608569,0.0078814042687542,61.68067226890752,-5.95569136745614,0.0070257611241215,0.0075018754688672,0,0,-0.0035258814703675867,0.0001,-0.0001,1.0033235138605632,1.0226270772413537
2007-03-23,1.333,1.3342,1.328,1.3283,1.3231213617741084,0.003913955571655,68.08905380333948,6.408381534431968,-0.0024033045437475,0.004667620266506,1,1,0.00353835729880303,0.0001,0.00343835729880303,1.0068736309388924,1.0261432345163402
